round,mode,implementation,state,perf_profile,footprint_bytes,seed
6,prefetch_chain,scalar,warm,branch,28672,24307
6,prefetch_chain,scalar,warm,branch,12582912,24307
6,prefetch_chain,scalar,warm,basic,2097152,24307
6,prefetch_chain,scalar,cache_evicted,branch,536870912,28403
6,prefetch_chain,scalar,warm,branch,196608,24307
6,prefetch_chain,scalar,warm,branch,536870912,24307
6,prefetch_chain,scalar,warm,basic,524288,24307
6,prefetch_chain,scalar,warm,basic,24576,24307
6,prefetch_chain,scalar,cache_evicted,branch,32768,28403
6,prefetch_chain,scalar,warm,basic,65536,24307
6,prefetch_chain,scalar,warm,branch,36864,24307
6,prefetch_chain,scalar,warm,basic,8192,24307
6,prefetch_chain,scalar,warm,basic,32768,24307
6,prefetch_chain,scalar,warm,basic,16384,24307
6,prefetch_chain,scalar,warm,basic,294912,24307
6,prefetch_chain,scalar,warm,basic,12582912,24307
6,prefetch_chain,scalar,warm,basic,33554432,24307
6,prefetch_chain,scalar,warm,basic,8388608,24307
6,prefetch_chain,scalar,warm,branch,6291456,24307
6,prefetch_chain,scalar,cache_evicted,basic,1048576,28403
6,prefetch_chain,scalar,warm,basic,28672,24307
6,prefetch_chain,scalar,warm,branch,294912,24307
6,prefetch_chain,scalar,warm,branch,393216,24307
6,prefetch_chain,scalar,warm,branch,5242880,24307
6,prefetch_chain,scalar,warm,branch,98304,24307
6,prefetch_chain,scalar,warm,basic,196608,24307
6,prefetch_chain,scalar,warm,basic,4194304,24307
6,prefetch_chain,scalar,warm,branch,229376,24307
6,prefetch_chain,scalar,warm,branch,1048576,24307
6,prefetch_chain,scalar,warm,branch,131072,24307
6,prefetch_chain,scalar,cache_evicted,branch,262144,28403
6,prefetch_chain,scalar,warm,basic,393216,24307
6,prefetch_chain,scalar,warm,branch,4194304,24307
6,prefetch_chain,scalar,warm,basic,49152,24307
6,prefetch_chain,scalar,warm,basic,5242880,24307
6,prefetch_chain,scalar,cache_evicted,basic,262144,28403
6,prefetch_chain,scalar,warm,branch,262144,24307
6,prefetch_chain,scalar,warm,branch,524288,24307
6,prefetch_chain,scalar,warm,branch,7340032,24307
6,prefetch_chain,scalar,cache_evicted,basic,536870912,28403
6,prefetch_chain,scalar,warm,branch,134217728,24307
6,prefetch_chain,scalar,warm,basic,536870912,24307
6,prefetch_chain,scalar,cache_evicted,branch,8388608,28403
6,prefetch_chain,scalar,warm,branch,2097152,24307
6,prefetch_chain,scalar,warm,branch,33554432,24307
6,prefetch_chain,scalar,warm,branch,65536,24307
6,prefetch_chain,scalar,warm,basic,229376,24307
6,prefetch_chain,scalar,cache_evicted,basic,33554432,28403
6,prefetch_chain,scalar,warm,basic,98304,24307
6,prefetch_chain,scalar,warm,basic,262144,24307
6,prefetch_chain,scalar,warm,basic,36864,24307
6,prefetch_chain,scalar,cache_evicted,basic,32768,28403
6,prefetch_chain,scalar,warm,basic,1048576,24307
6,prefetch_chain,scalar,cache_evicted,branch,1048576,28403
6,prefetch_chain,scalar,warm,branch,8192,24307
6,prefetch_chain,scalar,warm,branch,16384,24307
7,prefetch_chain,scalar,warm,basic,8192,24308
7,prefetch_chain,scalar,warm,branch,536870912,24308
7,prefetch_chain,scalar,warm,branch,7340032,24308
7,prefetch_chain,scalar,warm,basic,6291456,24308
7,prefetch_chain,scalar,warm,basic,393216,24308
7,prefetch_chain,scalar,cache_evicted,branch,6291456,28404
7,prefetch_chain,scalar,cache_evicted,branch,8388608,28404
7,prefetch_chain,scalar,cache_evicted,basic,33554432,28404
7,prefetch_chain,scalar,warm,basic,16384,24308
7,prefetch_chain,scalar,cache_evicted,branch,1048576,28404
7,prefetch_chain,scalar,cache_evicted,basic,32768,28404
7,prefetch_chain,scalar,warm,basic,196608,24308
7,prefetch_chain,scalar,warm,branch,134217728,24308
7,prefetch_chain,scalar,warm,basic,98304,24308
7,prefetch_chain,scalar,warm,basic,294912,24308
7,prefetch_chain,scalar,cache_evicted,basic,1048576,28404
7,prefetch_chain,scalar,warm,branch,8192,24308
7,prefetch_chain,scalar,warm,branch,2097152,24308
7,prefetch_chain,scalar,warm,branch,98304,24308
7,prefetch_chain,scalar,cache_evicted,branch,262144,28404
7,prefetch_chain,scalar,cache_evicted,basic,6291456,28404
7,prefetch_chain,scalar,warm,basic,24576,24308
7,prefetch_chain,scalar,cache_evicted,basic,536870912,28404
7,prefetch_chain,scalar,warm,branch,32768,24308
7,prefetch_chain,scalar,cache_evicted,branch,536870912,28404
7,prefetch_chain,scalar,warm,basic,12582912,24308
7,prefetch_chain,scalar,warm,branch,229376,24308
7,prefetch_chain,scalar,warm,branch,196608,24308
7,prefetch_chain,scalar,warm,basic,262144,24308
7,prefetch_chain,scalar,warm,basic,131072,24308
7,prefetch_chain,scalar,warm,basic,1048576,24308
